"B0 AOI1";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
49;-378,1942138671875;136,45712280273438;41009,19140625;-367,81195068359375;704,1396484375;-69,27100372314453;0,6318069100379944;0,2647082507610321;0,18274180591106415;0,01048395223915577
50;-378,1942138671875;136,45712280273438;41009,19140625;-387,5440979003906;709,1659545898438;-71,58961486816406;0,6313746571540833;0,26981252431869507;0,18392713367938995;0,010587019845843315
51;-378,1942138671875;136,45712280273438;41009,19140625;-365,96142578125;731,8506469726562;-69,23763275146484;0,6192281246185303;0,2577859163284302;0,17878849804401398;0,01025156769901514
52;-378,1942138671875;136,45712280273438;41009,19140625;-384,5209655761719;753,4781494140625;-72,14976501464844;0,6291213035583496;0,267973393201828;0,1831895411014557;0,010605324991047382
53;-378,1942138671875;136,45712280273438;41009,19140625;-357,8214416503906;781,2732543945312;-70,24739837646484;0,6270281076431274;0,26724177598953247;0,18272826075553894;0,01059903297573328
54;-378,1942138671875;136,45712280273438;41009,19140625;-392,1642761230469;775,0670776367188;-74,80823516845703;0,616537868976593;0,26381629705429077;0,18007566034793854;0,010417990386486053
55;-378,1942138671875;136,45712280273438;41009,19140625;-496,5628662109375;746,65380859375;-86,64918518066406;0,6281962990760803;0,2650028169155121;0,1827983558177948;0,010678613558411598
56;-378,1942138671875;136,45712280273438;41009,19140625;-453,8389587402344;769,7579956054688;-82,38982391357422;0,6029082536697388;0,25728803873062134;0,17631296813488007;0,010180110111832619
57;-378,1942138671875;136,45712280273438;41009,19140625;-583,5884399414062;713,0869750976562;-97,45819854736328;0,6169240474700928;0,2610021233558655;0,1801556795835495;0,010518504306674004
58;-378,1942138671875;136,45712280273438;41009,19140625;-571,8631591796875;711,2880859375;-94,6594009399414;0,6173533797264099;0,2631109952926636;0,18096943199634552;0,010591225698590279
59;-378,1942138671875;136,45712280273438;41009,19140625;-615,0255126953125;693,4425048828125;-100,54423522949219;0,6080883145332336;0,255178838968277;0,17763422429561615;0,010364485904574394
60;-378,1942138671875;136,45712280273438;41009,19140625;-617,4874877929688;674,0515747070312;-99,74738311767578;0,6119052767753601;0,2551799416542053;0,17869073152542114;0,010466436855494976
61;-378,1942138671875;136,45712280273438;41009,19140625;-644,5742797851562;654,4111938476562;-103,18479919433594;0,6019153594970703;0,25166216492652893;0,17623884975910187;0,010286495089530945
