"B0 AOI2";;;;;;;;;;
"Index [1]";"X [mm]";"Y [mm]";"Z [mm]";"U [mm]";"V [mm]";"W [mm]";"Sigma_X [mm]";"Sigma_Y [mm]";"Sigma_Z [mm]";"sigma [pixel]"
105;2424,6240234375;-307,2074890136719;50716,21484375;-206,4943389892578;1178,3648681640625;-112,09837341308594;0,8863170146942139;0,1998605579137802;0,24627622961997986;0,01723826862871647
106;2424,6240234375;-307,2074890136719;50716,21484375;-194,3494873046875;1183,69140625;-111,33770751953125;0,8976523280143738;0,20112545788288116;0,24612551927566528;0,01748921163380146
107;2424,6240234375;-307,2074890136719;50716,21484375;-187,2942657470703;1194,166015625;-113,07179260253906;0,9052494168281555;0,2019805908203125;0,24725814163684845;0,017608830705285072
108;2424,6240234375;-307,2074890136719;50716,21484375;-218,34873962402344;1213,8741455078125;-112,26514434814453;0,8985621333122253;0,20020976662635803;0,24775846302509308;0,017359647899866104
109;2424,6240234375;-307,2074890136719;50716,21484375;-223,38259887695312;1224,1856689453125;-112,71196746826172;0,8978545665740967;0,19949720799922943;0,2483365386724472;0,017263779416680336
110;2424,6240234375;-307,2074890136719;50716,21484375;-209,14306640625;1232,9473876953125;-113,864990234375;0,9154373407363892;0,2024642527103424;0,2516193687915802;0,017614243552088737
111;2424,6240234375;-307,2074890136719;50716,21484375;-197,4747772216797;1237,8963623046875;-113,71013641357422;0,8887560963630676;0,19625277817249298;0,24652467668056488;0,016892191022634506
112;2424,6240234375;-307,2074890136719;50716,21484375;-205,60153198242188;1245,75830078125;-114,6048583984375;0,9203921556472778;0,20237918198108673;0,2540115416049957;0,017565162852406502
113;2424,6240234375;-307,2074890136719;50716,21484375;-209,70773315429688;1261,153564453125;-115,48303985595703;0,9030330181121826;0,19748935103416443;0,24607375264167786;0,017092864960432053
114;2424,6240234375;-307,2074890136719;50716,21484375;-262,0279846191406;1271,5654296875;-112,28579711914062;0,902344822883606;0,19751957058906555;0,251528799533844;0,01696828380227089
115;2424,6240234375;-307,2074890136719;50716,21484375;-260,0758361816406;1279,482177734375;-114,6540298461914;0,9231382012367249;0,20006194710731506;0,24662399291992188;0,01739308051764965
116;2424,6240234375;-307,2074890136719;50716,21484375;-266,8158264160156;1289,34326171875;-115,40912628173828;0,9347137212753296;0,20256035029888153;0,2538413107395172;0,01756924018263817
117;2424,6240234375;-307,2074890136719;50716,21484375;-289,0113220214844;1298,9190673828125;-116,11773681640625;0,9072191119194031;0,1964498907327652;0,24920913577079773;0,016846438869833946
118;2424,6240234375;-307,2074890136719;50716,21484375;-302,491943359375;1310,9368896484375;-115,62591552734375;0,9088300466537476;0,1959637999534607;0,24654604494571686;0,016803018748760223
119;2424,6240234375;-307,2074890136719;50716,21484375;-313,4344787597656;1317,364013671875;-114,84991455078125;0,9157704710960388;0,19730760157108307;0,25080427527427673;0,016871530562639236
120;2424,6240234375;-307,2074890136719;50716,21484375;-296,3572082519531;1315,8035888671875;-116,42787170410156;0,9129295945167542;0,19546154141426086;0,24205876886844635;0,016718093305826187
121;2424,6240234375;-307,2074890136719;50716,21484375;-314,83953857421875;1323,33935546875;-114,95169067382812;0,9395893812179565;0,20114921033382416;0,25201475620269775;0,017231512814760208
122;2424,6240234375;-307,2074890136719;50716,21484375;-342,60760498046875;1334,1851806640625;-116,72955322265625;0,9278607368469238;0,19814418256282806;0,24651552736759186;0,016875870525836945
123;2424,6240234375;-307,2074890136719;50716,21484375;-339,4825439453125;1335,0242919921875;-116,36207580566406;0,9254522919654846;0,1981489211320877;0,2537618577480316;0,016735566779971123
124;2424,6240234375;-307,2074890136719;50716,21484375;-303,9928894042969;1339,465087890625;-118,86224365234375;0,9094220399856567;0,19439971446990967;0,24786454439163208;0,016288459300994873
125;2424,6240234375;-307,2074890136719;50716,21484375;-343,0091552734375;1351,9715576171875;-114,59367370605469;0,8958017826080322;0,19019941985607147;0,2297363579273224;0,01587127149105072
126;2424,6240234375;-307,2074890136719;50716,21484375;-325,8406066894531;1357,64501953125;-114,94738006591797;0,8883338570594788;0,18841983377933502;0,225175142288208;0,01560785248875618
127;2424,6240234375;-307,2074890136719;50716,21484375;-311,6844787597656;1356,672119140625;-116,91473388671875;0,9253488183021545;0,19613242149353027;0,23144686222076416;0,016315514221787453
128;2424,6240234375;-307,2074890136719;50716,21484375;-304,2436218261719;1358,2537841796875;-119,38849639892578;0,8966338038444519;0,19001226127147675;0,22142253816127777;0,015587948262691498
129;2424,6240234375;-307,2074890136719;50716,21484375;-307,29168701171875;1361,783935546875;-116,2228012084961;0,8987354040145874;0,19150835275650024;0,23601262271404266;0,015608944930136204
130;2424,6240234375;-307,2074890136719;50716,21484375;-269,6210021972656;1353,035888671875;-117,16853332519531;0,9357427358627319;0,19980677962303162;0,24940387904644012;0,016339115798473358
131;2424,6240234375;-307,2074890136719;50716,21484375;-284,3067321777344;1359,7127685546875;-117,77926635742188;0,9224376678466797;0,1967506855726242;0,23652392625808716;0,015941407531499863
132;2424,6240234375;-307,2074890136719;50716,21484375;-271,0992431640625;1360,1451416015625;-117,606689453125;0,8959164023399353;0,1917114108800888;0,23596316576004028;0,015297968871891499
133;2424,6240234375;-307,2074890136719;50716,21484375;-243,36093139648438;1352,1553955078125;-118,20046997070312;0,9001612663269043;0,19255292415618896;0,22595186531543732;0,015277976170182228
134;2424,6240234375;-307,2074890136719;50716,21484375;-249,5281524658203;1350,00927734375;-118,19141387939453;0,9190518260002136;0,1971810758113861;0,23377352952957153;0,01561823021620512
135;2424,6240234375;-307,2074890136719;50716,21484375;-298,782470703125;1354,6156005859375;-117,06147766113281;0,9723837971687317;0,20921248197555542;0,24883699417114258;0,016676442697644234
136;2424,6240234375;-307,2074890136719;50716,21484375;-255,98965454101562;1342,0482177734375;-117,84676361083984;0,9539400339126587;0,20574015378952026;0,2404569387435913;0,016192425042390823
137;2424,6240234375;-307,2074890136719;50716,21484375;-250,58218383789062;1334,1697998046875;-113,82118225097656;0,9375466704368591;0,20275992155075073;0,23179642856121063;0,01574832759797573
138;2424,6240234375;-307,2074890136719;50716,21484375;-206,9425811767578;1317,8831787109375;-116,31828308105469;0,9032606482505798;0,1959856003522873;0,22023487091064453;0,014936350286006927
139;2424,6240234375;-307,2074890136719;50716,21484375;-227,23841857910156;1327,5247802734375;-116,5857162475586;0,942924976348877;0,20535771548748016;0,2302590161561966;0,015699101611971855
